Date,Value
1979-11-04,18.61305923
1979-11-05,18.59816962
1979-11-06,18.60089291
1979-11-07,18.67003947
1979-11-08,18.7434065
1979-11-09,18.78794698
1979-11-10,18.80999265
1979-11-11,18.80135562
1979-11-12,18.83257155
1979-11-13,18.90493486
1979-11-14,19.01001151
1979-11-15,19.08683608
1979-11-16,19.1602388
1979-11-17,19.14077919
1979-11-18,19.16627466
1979-11-19,19.20046416
1979-11-20,19.25238176
1979-11-21,19.30007716
1979-11-22,19.36178504
1979-11-23,19.35147672
1979-11-24,19.45902045
1979-11-25,19.50489471
1979-11-26,19.5500074
1979-11-27,19.6233773
1979-11-28,19.6026725
1979-11-29,19.64367572
1979-11-30,19.67891307
1979-12-01,19.71366142
1979-12-02,19.73016054
1979-12-03,19.74894144
1979-12-04,19.8009553
1979-12-05,19.85283716
1979-12-06,19.92006191
1979-12-07,19.97810775
1979-12-08,20.02427637
1979-12-09,20.05636071
1979-12-10,20.1103824
1979-12-11,20.13897075
1979-12-12,20.18469126
1979-12-13,20.28852633
1979-12-14,20.31206386
1979-12-15,20.36404566
1979-12-16,20.40003033
1979-12-17,20.41008292
1979-12-18,20.51962379
1979-12-19,20.54626298
1979-12-20,20.57663178
1979-12-21,20.57979023
1979-12-22,20.60623144
1979-12-23,20.56373244
1979-12-24,20.62594055
1979-12-25,20.63111185
1979-12-26,20.64669091
1979-12-27,20.72904427
1979-12-28,20.74698245
1979-12-29,20.83809219
1979-12-30,20.82783035
1979-12-31,20.87481012
1980-01-01,20.96102348
1980-01-02,20.93407939
1980-01-03,20.91406175
1980-01-04,20.94064743
1980-01-05,21.01040652
1980-01-06,21.07318722
1980-01-07,21.14315594
1980-01-08,21.16364083
1980-01-09,21.22644254
1980-01-10,21.28869476
1980-01-11,21.36320176
1980-01-12,21.43189381
1980-01-13,21.48926461
1980-01-14,21.55980092
1980-01-15,21.54744911
1980-01-16,21.56612164
1980-01-17,21.60481638
1980-01-18,21.68469522
1980-01-19,21.70443484
1980-01-20,21.66112086
1980-01-21,21.6714842
1980-01-22,21.73536269
1980-01-23,21.75748757
1980-01-24,21.88930101
1980-01-25,21.87887364
1980-01-26,21.95349036
1980-01-27,21.96508294
1980-01-28,22.03490652
1980-01-29,22.12796415
1980-01-30,22.17833828
1980-01-31,22.19622505
1980-02-01,22.19403989
1980-02-02,22.27824068
1980-02-03,22.32144701
1980-02-04,22.37929573
1980-02-05,22.4617642
1980-02-06,22.50601823
1980-02-07,22.54454111
1980-02-08,22.60999597
1980-02-09,22.66670773
1980-02-10,22.73190757
1980-02-11,22.75082294
1980-02-12,22.80233705
1980-02-13,22.76972566
1980-02-14,22.7488576
1980-02-15,22.79086187
1980-02-16,22.8045063
1980-02-17,22.89134807
1980-02-18,22.95619336
1980-02-19,22.98417905
1980-02-20,23.03173564
1980-02-21,23.02349966
1980-02-22,23.02857312
1980-02-23,23.09676239
1980-02-24,23.19364036
1980-02-25,23.27348624
1980-02-26,23.23105782
1980-02-27,23.27164201
1980-02-28,23.31268725
1980-02-29,23.3896924
1980-03-01,23.42334283
1980-03-02,23.46692315
1980-03-03,23.54439452
1980-03-04,23.57227627
1980-03-05,23.57434736
1980-03-06,23.63058742
1980-03-07,23.64774259
1980-03-08,23.71794652
1980-03-09,23.7485631
1980-03-10,23.81332991
1980-03-11,23.89660176
1980-03-12,23.94551158
1980-03-13,24.00544242
1980-03-14,24.06115916
1980-03-15,24.15812382
1980-03-16,24.18263503
1980-03-17,24.17809094
1980-03-18,24.20559549
1980-03-19,24.25309655
1980-03-20,24.31565339
1980-03-21,24.37384063
1980-03-22,24.44335661
1980-03-23,24.5145178
1980-03-24,24.59956309
1980-03-25,24.65375454
1980-03-26,24.75772898
1980-03-27,24.77835855
1980-03-28,24.83070622
1980-03-29,24.8559964
1980-03-30,24.91271004
1980-03-31,24.8998669
1980-04-01,24.97219309
1980-04-02,25.00208617
1980-04-03,25.09746961
1980-04-04,25.15227811
1980-04-05,25.20933737
1980-04-06,25.27441276
1980-04-07,25.39554767
1980-04-08,25.40438769
1980-04-09,25.39993873
1980-04-10,25.51390531
1980-04-11,25.58307843
1980-04-12,25.68154118
1980-04-13,25.73912546
1980-04-14,25.79374412
1980-04-15,25.81859344
1980-04-16,25.85148931
1980-04-17,25.88200088
1980-04-18,25.92536718
1980-04-19,25.9533561
1980-04-20,26.01335247
1980-04-21,26.08654848
1980-04-22,26.07783847
1980-04-23,26.16059497
1980-04-24,26.21129648
1980-04-25,26.29472232
1980-04-26,26.36145695
1980-04-27,26.40472222
1980-04-28,26.48614733
1980-04-29,26.47476193
1980-04-30,26.54165833
1980-05-01,26.53505271
1980-05-02,26.59555721
1980-05-03,26.69455257
1980-05-04,26.73049752
1980-05-05,26.76311005
1980-05-06,26.76721277
1980-05-07,26.81333786
1980-05-08,26.83535217
1980-05-09,26.85455255
1980-05-10,26.87154121
1980-05-11,26.91023158
1980-05-12,26.9011614
1980-05-13,26.94434654
1980-05-14,26.96541362
1980-05-15,27.02247197
1980-05-16,27.04082255
1980-05-17,27.07483213
1980-05-18,27.09707729
1980-05-19,27.15852399
1980-05-20,27.24225407
1980-05-21,27.32976292
1980-05-22,27.36641936
1980-05-23,27.43992344
1980-05-24,27.50809545
1980-05-25,27.64262968
1980-05-26,27.71736822
1980-05-27,27.76076875
1980-05-28,27.80532307
1980-05-29,27.8687831
1980-05-30,27.95756904
1980-05-31,28.01869531
1980-06-01,28.07519428
1980-06-02,28.09631831
1980-06-03,28.14954628
1980-06-04,28.24256271
1980-06-05,28.2709428
1980-06-06,28.39784065
1980-06-07,28.43114715
1980-06-08,28.50663903
1980-06-09,28.54829735
1980-06-10,28.57268609
1980-06-11,28.63043813
1980-06-12,28.6845581
1980-06-13,28.6903689
1980-06-14,28.74931007
1980-06-15,28.82798402
1980-06-16,28.82893392
1980-06-17,28.9188595
1980-06-18,28.94041611
1980-06-19,29.06166045
1980-06-20,29.1596063
1980-06-21,29.22599044
1980-06-22,29.32401755
1980-06-23,29.35959099
1980-06-24,29.43217933
1980-06-25,29.48365699
1980-06-26,29.53609246
1980-06-27,29.55173061
1980-06-28,29.63471123
1980-06-29,29.68201334
1980-06-30,29.78632914
1980-07-01,29.81724438
1980-07-02,29.83990958
1980-07-03,29.85091622
1980-07-04,29.9059397
1980-07-05,29.95018824
1980-07-06,29.99097459
1980-07-07,30.06459626
1980-07-08,30.13776282
1980-07-09,30.17144639
1980-07-10,30.19136099
1980-07-11,30.24937055
1980-07-12,30.31395248
1980-07-13,30.35801848
1980-07-14,30.39902746
1980-07-15,30.43991589
1980-07-16,30.54777096
1980-07-17,30.63277427
1980-07-18,30.70641466
